,start_learning_rate,width,depth,l2_weight,train_loss,val_loss,train_acc,val_acc
0,1e-05,256.0,1.0,0.0,1.2286293506622314,1.3178657293319702,0.5817592740058899,0.5329629778862
1,1e-05,256.0,1.0,1e-05,1.2024497985839844,1.3001419305801392,0.5941666960716248,0.5496296286582947
2,1e-05,256.0,1.0,0.0001,1.2507097721099854,1.3456974029541016,0.5941203832626343,0.5400000214576721
3,1e-05,256.0,2.0,0.0,1.1317219734191895,1.2376033067703247,0.6124536991119385,0.5548148155212402
4,1e-05,256.0,2.0,1e-05,1.12543523311615,1.2382196187973022,0.6149073839187622,0.5603703856468201
5,1e-05,256.0,2.0,0.0001,1.1661618947982788,1.2704695463180542,0.6137962937355042,0.5685185194015503
6,1e-05,256.0,3.0,0.0,1.0749908685684204,1.1904245615005493,0.6244907379150391,0.5785185098648071
7,1e-05,256.0,3.0,1e-05,1.047615647315979,1.1659966707229614,0.635879635810852,0.585185170173645
8,1e-05,256.0,3.0,0.0001,1.104695200920105,1.219439148902893,0.6355555653572083,0.5870370268821716
9,1e-05,512.0,1.0,0.0,1.1447927951812744,1.2634592056274414,0.6136574149131775,0.5529629588127136
10,1e-05,512.0,1.0,1e-05,1.1421170234680176,1.2677719593048096,0.6203240752220154,0.5625925660133362
11,1e-05,512.0,1.0,0.0001,1.2168512344360352,1.3327454328536987,0.6115740537643433,0.5525925755500793
12,1e-05,512.0,2.0,0.0,0.9818325042724609,1.1449328660964966,0.6661574244499207,0.5944444537162781
13,1e-05,512.0,2.0,1e-05,0.9964783191680908,1.1530060768127441,0.6620370149612427,0.5988888740539551
14,1e-05,512.0,2.0,0.0001,1.0611672401428223,1.2263383865356445,0.6706944704055786,0.6018518805503845
15,1e-05,512.0,3.0,0.0,0.8863752484321594,1.0767321586608887,0.6961110830307007,0.6229629516601562
16,1e-05,512.0,3.0,1e-05,0.8960103988647461,1.078240990638733,0.6939351558685303,0.6214814782142639
17,1e-05,512.0,3.0,0.0001,1.0321859121322632,1.1899487972259521,0.6742129921913147,0.6114814877510071
18,1e-05,1024.0,1.0,0.0,1.0657320022583008,1.2174203395843506,0.6491666436195374,0.5725926160812378
19,1e-05,1024.0,1.0,1e-05,1.0703544616699219,1.2211129665374756,0.6512963175773621,0.5814814567565918
20,1e-05,1024.0,1.0,0.0001,1.1912535429000854,1.3375617265701294,0.6483333110809326,0.5725926160812378
21,1e-05,1024.0,2.0,0.0,0.7890506386756897,1.039966344833374,0.7398611307144165,0.6370370388031006
22,1e-05,1024.0,2.0,1e-05,0.8406581878662109,1.0666924715042114,0.7241203784942627,0.6325926184654236
23,1e-05,1024.0,2.0,0.0001,1.004154086112976,1.224928617477417,0.7225000262260437,0.6285185217857361
24,1e-05,1024.0,3.0,0.0,0.6754961013793945,0.9618313908576965,0.7718981504440308,0.6625925898551941
25,1e-05,1024.0,3.0,1e-05,0.8454336524009705,1.0345691442489624,0.7117129564285278,0.6399999856948853
26,1e-05,1024.0,3.0,0.0001,1.1189850568771362,1.2831239700317383,0.6821296215057373,0.6203703880310059
27,0.0001,256.0,1.0,0.0,0.9858503341674805,1.1885002851486206,0.6637963056564331,0.5888888835906982
28,0.0001,256.0,1.0,1e-05,1.007849097251892,1.1980304718017578,0.653842568397522,0.5822222232818604
29,0.0001,256.0,1.0,0.0001,1.0845756530761719,1.2324351072311401,0.6225463151931763,0.5692592859268188
30,0.0001,256.0,2.0,0.0,0.8363137245178223,1.0601738691329956,0.7096759080886841,0.6244444251060486
31,0.0001,256.0,2.0,1e-05,1.0143545866012573,1.1365917921066284,0.643240749835968,0.5988888740539551
32,0.0001,256.0,2.0,0.0001,0.9323613047599792,1.1113624572753906,0.6842592358589172,0.619259238243103
33,0.0001,256.0,3.0,0.0,0.6744765639305115,0.972484290599823,0.7657407522201538,0.6677777767181396
