,start_learning_rate,width,depth,l2_weight,train_loss,val_loss,train_acc,val_acc
0,1e-05,256.0,1.0,0.0,1.2359064817428589,1.316430926322937,0.5768055319786072,0.5377777814865112
1,1e-05,256.0,1.0,1e-05,1.210098147392273,1.3010274171829224,0.5951389074325562,0.554444432258606
2,1e-05,256.0,1.0,0.0001,1.2444770336151123,1.3356800079345703,0.5878703594207764,0.5381481647491455
3,1e-05,256.0,2.0,0.0,1.113237738609314,1.2234435081481934,0.6192129850387573,0.5629629492759705
4,1e-05,256.0,2.0,1e-05,1.1267623901367188,1.228365421295166,0.6138426065444946,0.5633333325386047
5,1e-05,256.0,2.0,0.0001,1.1654810905456543,1.2749946117401123,0.6136574149131775,0.5622222423553467
6,1e-05,256.0,3.0,0.0,1.0381102561950684,1.1599844694137573,0.6356018781661987,0.5859259366989136
7,1e-05,256.0,3.0,1e-05,1.0680816173553467,1.175442099571228,0.6280555725097656,0.5770370364189148
8,1e-05,256.0,3.0,0.0001,1.103261113166809,1.2306187152862549,0.637499988079071,0.5877777934074402
9,1e-05,512.0,1.0,0.0,1.1579289436340332,1.2775382995605469,0.6072685122489929,0.54666668176651
10,1e-05,512.0,1.0,1e-05,1.1402782201766968,1.2630739212036133,0.622175931930542,0.5574073791503906
11,1e-05,512.0,1.0,0.0001,1.2013057470321655,1.3266338109970093,0.6189814805984497,0.5592592358589172
12,1e-05,512.0,2.0,0.0,0.9919137954711914,1.1490561962127686,0.6616666913032532,0.5925925970077515
13,1e-05,512.0,2.0,1e-05,0.9844655990600586,1.1430217027664185,0.6683796048164368,0.6025925874710083
14,1e-05,512.0,2.0,0.0001,1.0639158487319946,1.2229467630386353,0.6678703427314758,0.5955555438995361
15,1e-05,512.0,3.0,0.0,0.9043302536010742,1.0742069482803345,0.6884258985519409,0.6140740513801575
16,1e-05,512.0,3.0,1e-05,0.8859394788742065,1.0637195110321045,0.6957407593727112,0.6277777552604675
17,1e-05,512.0,3.0,0.0001,1.0239566564559937,1.1875296831130981,0.6786574125289917,0.6140740513801575
18,1e-05,1024.0,1.0,0.0,1.0629158020019531,1.2146728038787842,0.6500462889671326,0.5725926160812378
19,1e-05,1024.0,1.0,1e-05,1.0777525901794434,1.2309671640396118,0.6486573815345764,0.5733333230018616
20,1e-05,1024.0,1.0,0.0001,1.2390587329864502,1.3653415441513062,0.6180555820465088,0.5496296286582947
